,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,ResultID,IN_Address,IN_Addre_1,IN_Addre_2,IN_Neighbo,IN_City,IN_Subregi,IN_Region,IN_Postal,IN_PostalE,IN_Country,USER_prov,USER_city,USER_name,USER_type,USER_subty,USER_name_,USER_osm_i,USER_displ,USER_categ,USER_latlo,USER_count,USER_langC,USER_adm1c,USER_adm2c,USER_adm3c,USER_adm4c,geometry,NN,NN_dist,x,y
0,World,M,80.01,A,Embekka Katharagama Dewalaya,"Embekka Katharagama Dewalaya, Embekka, LKA",Embekka Katharagama Dewalaya,POI,Temple,Embekka Katharagama Dewalaya,Embekka,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,Embekka,,Kandy,Central,Central,,Udunuwara,,,LKA,ENG,0.0,80.56806,7.21811,80.56806,7.21811,80.56306,80.57306,7.21311,7.22311,PROVINCE,3,Embekke Devalaya,,,,,Kandy,Central Province,,,LKA,Central Province,Kandy,Embekke Devalaya,Heritage and Culture,Arts and crafts,Embekke Devalaya,2908772560,"Kandy, මහනුවර දිස්ත්‍රික්කය, මධ්‍යම පළාත, 20000, Sri Lanka",place,city,LKA,ENG,LK2,LK21,,,POINT (80.56806000000006 7.218110000000024),1743126554,14.430892519219734,80.56806000000006,7.218110000000024
1,,M,100.0,PP,"x=80.742936, y=7.400645",,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,Hulu River & Waterfall,,,,,Kandy,Central Province,,,LKA,Central Province,Kandy,Hulu River & Waterfall,Water,Waterfall,Hulu River & Waterfall,2908772560,"Kandy, මහනුවර දිස්ත්‍රික්කය, මධ්‍යම පළාත, 20000, Sri Lanka",place,city,LKA,ENG,LK2,LK21,,,POINT (80.74293550533594 7.400644946810061),3645433570,80.09486329530935,80.74293550533594,7.400644946810061
2,World,M,87.33,A,Royal Palace Park-Kandy,"Royal Palace Park-Kandy, Keerthie Sri Rajasinghe Mawatha, Kandy, LKA",Royal Palace Park-Kandy,POI,Park,Royal Palace Park-Kandy,"Keerthie Sri Rajasinghe Mawatha, Kandy",,,19.0,,,,,,,,,Keerthie Sri Rajasinghe,Mawatha,,,,,,,,,Keerthie Sri Rajasinghe Mawatha,,,Bogambara,,Kandy,,Kandy,Central,Central,,Kandy Four Gravets,,,LKA,ENG,0.0,80.63751,7.28947,80.63751,7.28947,80.63251,80.64251,7.28447,7.29447,PROVINCE,4,Royal Palace of Kandy,,,,,Kandy,Central Province,,,LKA,Central Province,Kandy,Royal Palace of Kandy,Heritage and Culture,Palace,Royal Palace of Kandy,2908772560,"Kandy, මහනුවර දිස්ත්‍රික්කය, මධ්‍යම පළාත, 20000, Sri Lanka",place,city,LKA,ENG,LK2,LK21,,,POINT (80.63751000000013 7.289470000000051),3804266901,7.492898434115553,80.63751000000013,7.289470000000051
3,World,M,75.48,M,Kandy,"Kandy, LKA",Kandy,Locality,City,Kandy,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,Kandy,,Kandy,Central,Central,,,,,LKA,ENG,0.0,80.63866,7.29497,80.63866,7.29497,80.60266,80.67466,7.25897,7.33097,MAGULMADUWA | PROVINCE,5,Magul Maduwa,,,,,Kandy,Central Province,,,LKA,Central Province,Kandy,Magul Maduwa,Heritage and Culture,Arts and crafts,Magul Maduwa,2908772560,"Kandy, මහනුවර දිස්ත්‍රික්කය, මධ්‍යම පළාත, 20000, Sri Lanka",place,city,LKA,ENG,LK2,LK21,,,POINT (80.63866000000007 7.294970000000049),5507321512,29.20720374723647,80.63866000000007,7.294970000000049
4,World,M,65.07,A,Bauddha Bala Mandalaya,"Bauddha Bala Mandalaya, Akkara Road, Ranawana East, LKA",Bauddha Bala Mandalaya,POI,Temple,Bauddha Bala Mandalaya,"Akkara Road, Ranawana East",,,19.0,,,,,,,,,Akkara,Road,,,,,,,,,Akkara Road,,,,,Ranawana East,,Kandy,Central,Central,,Harispattuwa,,,LKA,ENG,0.0,80.6227,7.32835,80.6227,7.32835,80.6177,80.6277,7.32335,7.33335,RAN AVUDA | PROVINCE,6,Ran Avuda Mandapaya,,,,,Kandy,Central Province,,,LKA,Central Province,Kandy,Ran Avuda Mandapaya,Heritage and Culture,Arts and crafts,Ran Avuda Mandapaya,2908772560,"Kandy, මහනුවර දිස්ත්‍රික්කය, මධ්‍යම පළාත, 20000, Sri Lanka",place,city,LKA,ENG,LK2,LK21,,,POINT (80.62270000000007 7.328350000000057),1809637836,69.90425831928222,80.62270000000007,7.328350000000057
5,World,T,75.16,A,Pub-Kandy,"Pub-Kandy, A26, Kandy, LKA",Pub-Kandy,POI,Hotel,Pub-Kandy,"A26, Kandy",,,19.0,,,,,,,,,A26,,,,,,,,,,A26,,,Boowelikada,,Kandy,,Kandy,Central,Central,,Kandy Four Gravets,,,LKA,ENG,0.0,80.64539,7.29054,80.64539,7.29054,80.64039,80.65039,7.28554,7.29554,LAKE | PROVINCE,2,Kandy Lake,,,,,Kandy,Central Province,,,LKA,Central Province,Kandy,Kandy Lake,Water,Lake/Ponds/Lagoon,Kandy Lake,2908772560,"Kandy, මහනුවර දිස්ත්‍රික්කය, මධ්‍යම පළාත, 20000, Sri Lanka",place,city,LKA,ENG,LK2,LK21,,,POINT (80.64539000000008 7.290540000000021),3422963148,1.556667948782278,80.64539000000008,7.290540000000021
6,World,M,63.25,A,Court Complex,"Court Complex, Angampitiya Road, Kandy, LKA",Court Complex,POI,Court House,Court Complex,"Angampitiya Road, Kandy",,,19.0,,,,,,,,,Angampitiya,Road,,,,,,,,,Angampitiya Road,,,Gatambe,,Kandy,,Kandy,Central,Central,,Kandy Four Gravets,,,LKA,ENG,0.0,80.61121,7.27253,80.61121,7.27253,80.60621,80.61621,7.26753,7.27753,AMBULUWAWA BIO DIVERSITY | PROVINCE,7,Ambuluwawa Bio Diversity Complex,,,,,Kandy,Central Province,,,LKA,Central Province,Kandy,Ambuluwawa Bio Diversity Complex,Religious,Other,Ambuluwawa Bio Diversity Complex,2908772560,"Kandy, මහනුවර දිස්ත්‍රික්කය, මධ්‍යම පළාත, 20000, Sri Lanka",place,city,LKA,ENG,LK2,LK21,,,POINT (80.61121000000014 7.272530000000074),5640135190,2.533408512620909,80.61121000000014,7.272530000000074
7,World,M,66.15,A,Knuckles Information Centre Deenston,"Knuckles Information Centre Deenston, Hunnasgiriya-Looloowatta Road, Nawanagala, LKA",Knuckles Information Centre Deenston,POI,Museum,Knuckles Information Centre Deenston,"Hunnasgiriya-Looloowatta Road, Nawanagala",,,17.0,,,,,,,,,Hunnasgiriya-Looloowatta,Road,,,,,,,,,Hunnasgiriya-Looloowatta Road,,,,,Nawanagala,,Kandy,Central,Central,,Ududumbara,,,LKA,ENG,0.0,80.86126,7.33017,80.86126,7.33017,80.85626,80.86626,7.32517,7.33517,RANGALA AREAS | PROVINCE,9,Knuckles/ Rangala Areas,,,,,Kandy,Central Province,,,LKA,Central Province,Kandy,Knuckles/ Rangala Areas,Mountain,Mountain,Knuckles/ Rangala Areas,2908772560,"Kandy, මහනුවර දිස්ත්‍රික්කය, මධ්‍යම පළාත, 20000, Sri Lanka",place,city,LKA,ENG,LK2,LK21,,,POINT (80.86126000000007 7.330170000000081),2559564466,2.003225254311347,80.86126000000007,7.330170000000081
8,World,T,73.32,A,Mountain Rest,"Mountain Rest, AA001, Kandy, LKA",Mountain Rest,POI,Hotel,Mountain Rest,"AA001, Kandy",,,19.0,,,,,,,,,AA001,,,,,,,,,,AA001,,,Katykele West,,Kandy,,Kandy,Central,Central,,Kandy Four Gravets,,,LKA,ENG,0.0,80.62191,7.28241,80.62191,7.28241,80.61691,80.62691,7.27741,7.28741,ALAGALLA | PROVINCE,10,Alagalla Mountain,,,,,Kandy,Central Province,,,LKA,Central Province,Kandy,Alagalla Mountain,Mountain,Mountain,Alagalla Mountain,2908772560,"Kandy, මහනුවර දිස්ත්‍රික්කය, මධ්‍යම පළාත, 20000, Sri Lanka",place,city,LKA,ENG,LK2,LK21,,,POINT (80.62191000000007 7.282410000000041),3074337918,6.645097332121336,80.62191000000007,7.282410000000041
9,World,M,70.88,A,Asgiri Maha Viharaya,"Asgiri Maha Viharaya, Asgiri Vihara Mawatha, Kandy, LKA",Asgiri Maha Viharaya,POI,Temple,Asgiri Maha Viharaya,"Asgiri Vihara Mawatha, Kandy",,,19.0,,,,,,,,,Asgiri Vihara,Mawatha,,,,,,,,,Asgiri Vihara Mawatha,,,Asgiriya,,Kandy,,Kandy,Central,Central,,Kandy Four Gravets,,,LKA,ENG,0.0,80.63379,7.29908,80.63379,7.29908,80.62879,80.63879,7.29408,7.30408,ASGIRIYA | PROVINCE,8,Asgiriya Maha Viharaya,,,,,Kandy,Central Province,,,LKA,Central Province,Kandy,Asgiriya Maha Viharaya,Religious,Temple,Asgiriya Maha Viharaya,2908772560,"Kandy, මහනුවර දිස්ත්‍රික්කය, මධ්‍යම පළාත, 20000, Sri Lanka",place,city,LKA,ENG,LK2,LK21,,,POINT (80.63379000000009 7.29908000000006),2824714698,6.4684410089418085,80.63379000000009,7.29908000000006
